post_id,original_comment,cleaned_comment,comment_length,cleaned_length,language,vader_sentiment,vader_score,textblob_sentiment,textblob_score,final_sentiment,Post_ID
bSCdgzwOhC,"I absolutely love this store! The prices are fantastic, and the staff is always helpful and friendly. Truly a pleasure shopping here.","absolutely love store! price fantastic, staff always helpful friendly. truly pleasure shopping here.",22,13,en,positive,0.9682,positive,0.4666666666666666,positive,0
bSCdgzwOhC,"The discounts this week are great, but I wish the checkout process was faster. Still, I found some nice deals.","discount week great, wish checkout process faster. still, found nice deals.",20,11,en,positive,0.8689,positive,0.7,positive,1
bSCdgzwOhC,"I found what I needed, but it took a while to locate items. Layout could be improved.","found needed, took locate items. layout could improved.",17,8,en,positive,0.631,neutral,0.0,positive,2
bSCdgzwOhC,"The produce section had some freshness issues today, but overall, not bad.","produce section freshness issue today, overall, bad.",12,7,en,positive,0.5824,positive,0.17499999999999996,positive,3
bSCdgzwOhC,Disappointed with the selection. Many items I needed were out of stock. Hope it improves.,disappointed selection. many item needed stock. hope improves.,15,8,en,positive,0.3818,negative,-0.125,positive,4
bSCdgzwOhC,"Terrible experience today! The shelves were empty, and the customer service was lacking. Not coming back soon.","terrible experience today! shelf empty, customer service lacking. coming back soon.",17,11,en,negative,-0.636,negative,-0.3666666666666667,negative,5
bSCdgzwOhC,"The store is okay, but it's nothing special. Prices are average, and staff is hit or miss.","store okay, nothing special. price average, staff hit miss.",17,9,en,negative,-0.5166,positive,0.23571428571428574,negative,6
bSCdgzwOhC,Amazing service every time I shop here! They go above and beyond to help customers. I highly recommend this place.,amazing service every time shop here! beyond help customers. highly recommend place.,20,12,en,positive,0.862,positive,0.3033333333333334,positive,7
bSCdgzwOhC,"I had an issue with my order, but the staff resolved it quickly. Good service, though room for improvement.","issue order, staff resolved quickly. good service, though room improvement.",19,10,en,positive,0.872,positive,0.7,positive,8
bSCdgzwOhC,"It’s just a regular store. Nothing stood out for me, and the experience was fine, nothing more.","regular store. nothing stood me, experience fine, nothing more.",17,9,en,positive,0.2023,positive,0.3055555555555556,positive,9
10CSVhfywj,Thrilled with the quality of products here! They offer a fantastic range of items that always meet my expectations.,thrilled quality product here! offer fantastic range item always meet expectations.,19,11,en,positive,0.7777,positive,0.575,positive,10
10CSVhfywj,"They have some good deals on weekends, though the crowds can make it hard to shop comfortably.","good deal weekends, though crowd make hard shop comfortably.",17,9,en,positive,0.6486,positive,0.26944444444444443,positive,11
10CSVhfywj,"I wish they stocked more organic products, but it's still convenient for basics.","wish stocked organic products, still convenient basics.",13,7,en,positive,0.2144,positive,0.5,positive,12
10CSVhfywj,"The parking situation here is awful! It took me forever to find a spot, which ruined my shopping trip.","parking situation awful! took forever find spot, ruined shopping trip.",19,10,en,negative,-0.75,negative,-1.0,negative,13
10CSVhfywj,Didn't enjoy my visit. The staff seemed disinterested and didn’t offer any assistance when I needed it.,didnt enjoy visit. staff seemed disinterested didnt offer assistance needed it.,17,11,en,negative,-0.3875,positive,0.4,positive,14
10CSVhfywj,Absolutely the worst supermarket! Expensive and very limited selection compared to other stores nearby.,absolutely worst supermarket! expensive limited selection compared store nearby.,14,9,en,negative,-0.7823,negative,-0.30357142857142855,negative,15
10CSVhfywj,"Not too impressed, but it serves its purpose for quick grocery trips. Nothing remarkable, but adequate.","impressed, serf purpose quick grocery trips. nothing remarkable, adequate.",16,9,en,negative,-0.7692,positive,0.6041666666666666,negative,16
10CSVhfywj,Excellent range and very affordable prices! I am really happy with the quality and freshness of the vegetables.,excellent range affordable prices! really happy quality freshness vegetables.,18,9,en,positive,0.8395,positive,0.6833333333333332,positive,17
10CSVhfywj,"They are consistently reliable with their offerings. I had one complaint, but it was handled professionally.","consistently reliable offerings. one complaint, handled professionally.",16,7,en,negative,-0.1531,neutral,0.016666666666666673,negative,18
10CSVhfywj,"Just another grocery store. Not sure what the hype is about, but it's decent for basic shopping.","another grocery store. sure hype about, decent basic shopping.",17,9,en,negative,-0.1232,neutral,-0.02777777777777778,negative,19
YMuJFkAEV9,This is my favorite supermarket! They always have fresh produce and great prices on everything. Love shopping here.,favorite supermarket! always fresh produce great price everything. love shopping here.,18,11,en,positive,0.9312,positive,0.55625,positive,20
YMuJFkAEV9,"Some nice deals, but the variety isn't always there. I sometimes have to go elsewhere for specialty items.","nice deals, variety isnt always there. sometimes elsewhere specialty items.",18,10,en,positive,0.2263,positive,0.6,positive,21
YMuJFkAEV9,"It's a decent store overall, though the layout can be confusing at times. It could use some improvement.","decent store overall, though layout confusing times. could use improvement.",18,10,en,positive,0.2732,neutral,-0.044444444444444446,positive,22
YMuJFkAEV9,"The staff could be more helpful. I struggled to find items, and no one seemed interested in assisting.","staff could helpful. struggled find items, one seemed interested assisting.",18,10,en,positive,0.2333,positive,0.375,positive,23
YMuJFkAEV9,"Not a fan of this store. The products were overpriced, and the service was not very friendly either.","fan store. product overpriced, service friendly either.",18,7,en,negative,-0.5868,negative,-0.14423076923076922,negative,24
YMuJFkAEV9,"Worst store I've been to in ages. Dirty aisles, poor customer service, and items are often out of stock.","worst store ive ages. dirty aisles, poor customer service, item often stock.",19,12,en,negative,-0.8779,negative,-0.6666666666666666,negative,25
YMuJFkAEV9,"It's fine for a quick stop, but it's lacking in many ways. Not my first choice, but convenient.","fine quick stop, lacking many ways. first choice, convenient.",18,9,en,negative,-0.0516,positive,0.375,positive,26
YMuJFkAEV9,Incredible deals! I always leave with a cart full of goodies without breaking the bank. Truly fantastic value.,incredible deals! always leave cart full goody without breaking bank. truly fantastic value.,18,13,en,positive,0.8398,positive,0.5833333333333334,positive,27
YMuJFkAEV9,"Had an issue at checkout, but the cashier was very helpful. It was a bit annoying but resolved quickly.","issue checkout, cashier helpful. bit annoying resolved quickly.",19,8,en,positive,0.3898,neutral,-0.08888888888888892,positive,28
YMuJFkAEV9,"Overall experience was okay. Not bad, but not anything special. It's just a regular grocery store.","overall experience okay. bad, anything special. regular grocery store.",16,9,en,negative,-0.1311,positive,0.2414285714285714,positive,29
esn2Bqul7r,"Shopping here is a joy! They have everything I need, and I never leave disappointed. A perfect place to shop.","shopping joy! everything need, never leave disappointed. perfect place shop.",20,10,en,positive,0.8884,positive,0.4166666666666667,positive,30
